prefix,label,method,url,http_status,output_file
route,patientgetv2,GET,http://orca:8000/route/api01rv2/patientgetv2?id=000001,curl_error_6,artifacts/orca-connectivity/20251113TorcaApiSmokeZ1/patientgetv2_route_.http
direct,patientgetv2,GET,http://orca:8000/api01rv2/patientgetv2?id=000001,curl_error_6,artifacts/orca-connectivity/20251113TorcaApiSmokeZ1/patientgetv2_direct_.http
route,appointmodv2,GET,http://orca:8000/route/orca14/appointmodv2?class=01,curl_error_6,artifacts/orca-connectivity/20251113TorcaApiSmokeZ1/appointmodv2_route_.http
direct,appointmodv2,GET,http://orca:8000/orca14/appointmodv2?class=01,curl_error_6,artifacts/orca-connectivity/20251113TorcaApiSmokeZ1/appointmodv2_direct_.http
route,medicalmodv2,GET,http://orca:8000/route/api21/medicalmodv2?class=01,curl_error_6,artifacts/orca-connectivity/20251113TorcaApiSmokeZ1/medicalmodv2_route_.http
direct,medicalmodv2,GET,http://orca:8000/api21/medicalmodv2?class=01,curl_error_6,artifacts/orca-connectivity/20251113TorcaApiSmokeZ1/medicalmodv2_direct_.http
route,acceptmodv2,GET,http://orca:8000/route/orca11/acceptmodv2?class=01,curl_error_6,artifacts/orca-connectivity/20251113TorcaApiSmokeZ1/acceptmodv2_route_.http
direct,acceptmodv2,GET,http://orca:8000/orca11/acceptmodv2?class=01,curl_error_6,artifacts/orca-connectivity/20251113TorcaApiSmokeZ1/acceptmodv2_direct_.http
route,acceptlstv2,POST,http://orca:8000/route/api01rv2/acceptlstv2?class=01,curl_error_6,artifacts/orca-connectivity/20251113TorcaApiSmokeZ1/acceptlstv2_route_.http
direct,acceptlstv2,POST,http://orca:8000/api01rv2/acceptlstv2?class=01,curl_error_6,artifacts/orca-connectivity/20251113TorcaApiSmokeZ1/acceptlstv2_direct_.http
route,patientmemomodv2,GET,http://orca:8000/route/orca06/patientmemomodv2,curl_error_6,artifacts/orca-connectivity/20251113TorcaApiSmokeZ1/patientmemomodv2_route_.http
direct,patientmemomodv2,GET,http://orca:8000/orca06/patientmemomodv2,curl_error_6,artifacts/orca-connectivity/20251113TorcaApiSmokeZ1/patientmemomodv2_direct_.http
