source	id	event_time	action	request_id
legacy	3	2025-11-12 01:38:58.661587+09	SEQ_SMOKE	trace-seq-smoke
legacy	2	2025-11-12 01:37:54.322521+09	SEQ_SMOKE	trace-seq-smoke
modern	57	2025-11-12 01:40:15.841699+09	SEQ_SMOKE	trace-seq-smoke
modern	55	2025-11-11 20:07:08.954473+09	SYSTEM_ACTIVITY_SUMMARY	trace-http-20251111T091717Z
modern	54	2025-11-11 20:05:51.873631+09	SYSTEM_ACTIVITY_SUMMARY	trace-http-20251111T091717Z
modern	53	2025-11-11 18:43:32.786512+09	SYSTEM_ACTIVITY_SUMMARY	trace-http-400
modern	52	2025-11-11 18:29:24.586096+09	SYSTEM_ACTIVITY_SUMMARY	trace-http-400
modern	-41	2025-11-10 23:13:47.023197+09	SYSTEM_ACTIVITY_SUMMARY	trace-http-400
modern	-42	2025-11-10 22:51:56.846671+09	SYSTEM_ACTIVITY_SUMMARY	trace-http-400
modern	-43	2025-11-10 22:51:48.094946+09	SYSTEM_ACTIVITY_SUMMARY	trace-http-400
modern	-44	2025-11-10 21:32:07.878756+09	SYSTEM_ACTIVITY_SUMMARY	76dd12b6-85d0-42a4-af3d-b9790ffbbe47
modern	-45	2025-11-10 21:26:59.604509+09	SYSTEM_ACTIVITY_SUMMARY	1097021e-aaeb-48c8-ae87-04b93ec46a64
modern	-46	2025-11-10 06:23:46.834083+09	SYSTEM_ACTIVITY_SUMMARY	2ff7792f-e128-4263-b7e7-739ce4ddcee2
modern	-47	2025-11-10 06:22:05.318451+09	SYSTEM_ACTIVITY_SUMMARY	269fa2ec-5054-4cb6-8470-168fd0cd40a4
modern	1	2025-11-10 05:18:27.015813+09	EHT_CLAIM_SEND	8c93e452-918d-407b-8216-cc7ca67b9d80
